symbol,company,industry,exchange,trading_volume_and_chartered_capital
CT6,CTCP Công trình 6,Xây dựng công nghiệp nặng và dân dụng,UPCoM,6108078
CTA,CTCP Vinavico,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,8454381
CTB,CTCP Chế tạo Bơm Hải Dương,"Sản xuất thiết bị, máy móc",HNX,13680000
CTC,CTCP Tập đoàn Hoàng Kim Tây Nguyên,Khách sạn và phòng ở,HNX,15799926
CTD,CTCP Xây dựng Coteccons,"Xây dựng nhà cửa, cao ốc",HOSE,103633261
CTF,CTCP City Auto,Bán lẻ xe hơi và phụ tùng,HOSE,89396463
CTG,Ngân hàng TMCP Công Thương Việt Nam,Trung gian tín dụng và các hoạt động liên quan,HOSE,4805750609
CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO,Xây dựng công nghiệp nặng và dân dụng,HOSE,62999997
CTN,CTCP Xây dựng Công trình ngầm,Xây dựng công nghiệp nặng và dân dụng,UPCoM,6958345
CTP,CTCP Minh Khang Capital Trading Public,Trồng trọt,HNX,12099992
CTR,Tổng Công ty cổ phần Công trình Viettel,Viễn thông,HOSE,114385879
CTS,CTCP Chứng khoán Ngân hàng Công thương Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,148738311
CTT,CTCP Chế tạo Máy - Vinacomin,"Sản xuất thiết bị, máy móc",HNX,4697351
CTW,CTCP Cấp thoát nước Cần Thơ,"Nước, chất thải và các hệ thống khác",UPCoM,28000000
CTX,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,"Xây dựng nhà cửa, cao ốc",HNX,78907276
CVN,CTCP Vinam,Dịch vụ chăm sóc sức khỏe ngoại trú,HNX,29699991
CVT,CTCP CMC,Sản xuất sản phẩm khoáng chất phi kim,HOSE,36690887
CX8,CTCP Đầu tư và Xây lắp Constrexim Số 8,"Xây dựng nhà cửa, cao ốc",HNX,2110586
CYC,CTCP Gạch men Chang Yih,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,1990530
D11,CTCP Địa ốc 11,Phát triển bất động sản,HNX,6551965
D2D,CTCP Phát triển Đô thị Công nghiệp số 2,Phát triển bất động sản,HOSE,30304758
DAC,CTCP 382 Đông Anh,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,1004974
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,Công nghiệp xuất bản - Ngoại trừ internet,HNX,5000000
DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng,Công nghiệp xuất bản - Ngoại trừ internet,HNX,1925658
DAG,CTCP Tập đoàn Nhựa Đông Á,Sản xuất các sản phẩm nhựa và cao su,HOSE,60314112
DAH,CTCP Tập đoàn Khách sạn Đông Á,Khách sạn và phòng ở,HOSE,84200000
DAN,CTCP Dược Danapha,"Sản xuất hóa chất, dược phẩm",UPCoM,20938000
DAS,CTCP Máy - Thiết bị Dầu khí Đà Nẵng,Bán buôn hàng lâu bền,UPCoM,4200000
DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản,Sản xuất thực phẩm,HOSE,62935104
DBC,CTCP Tập đoàn Dabaco Việt Nam,Sản xuất thực phẩm,HOSE,242001859
DBD,CTCP Dược - Trang thiết bị Y tế Bình Định (BIDIPHAR),"Sản xuất hóa chất, dược phẩm",HOSE,74883559
DBM,CTCP Dược - Vật tư Y Tế Đăk Lăk,"Sản xuất hóa chất, dược phẩm",UPCoM,1941588
DBT,CTCP Dược phẩm Bến Tre,"Sản xuất hóa chất, dược phẩm",HOSE,16325477
DC1,CTCP Đầu tư Phát triển Xây dựng Số 1,"Xây dựng nhà cửa, cao ốc",UPCoM,4504337
DC2,CTCP Đầu tư - Phát triển - Xây dựng (DIC) Số 2,Nhà thầu chuyên môn,HNX,7556341
DC4,CTCP Xây dựng DIC Holdings,"Xây dựng nhà cửa, cao ốc",HOSE,52499723
DCF,CTCP Xây dựng và Thiết kế Số 1,Xây dựng công nghiệp nặng và dân dụng,UPCoM,15000000
DCG,CTCP Tổng Công ty May Đáp Cầu,Sản xuất các sản phẩm may mặc,UPCoM,6825000
DCH,CTCP Địa chính Hà Nội,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",UPCoM,2880000
DCL,CTCP Dược phẩm Cửu Long,"Sản xuất hóa chất, dược phẩm",HOSE,73041030
DCM,CTCP Phân bón Dầu khí Cà Mau,"Sản xuất hóa chất, dược phẩm",HOSE,529400000
DCR,CTCP Gạch men Cosevco,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,6500000
DCS,CTCP Tập đoàn Đại Châu,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,UPCoM,60310988
DCT,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,27223647
DDG,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,"Nước, chất thải và các hệ thống khác",HNX,59839886
DDH,CTCP Đảm bảo Giao thông Đường thủy Hải Phòng,Hỗ trợ vận tải,UPCoM,3600000
DDM,CTCP Hàng Hải Đông Đô,Vận tải đường thủy,UPCoM,12244495
DDN,CTCP Dược và Thiết bị Y tế Đà Nẵng,Bán buôn hàng tiêu dùng,UPCoM,15349328
DDV,CTCP DAP - VINACHEM,"Sản xuất hóa chất, dược phẩm",UPCoM,146109900
DFC,CTCP Xích líp Đông Anh,Sản xuất sản phẩm kim loại tổng hợp,UPCoM,11400000
DFF,CTCP Tập đoàn Đua Fat,Nhà thầu chuyên môn,UPCoM,80000000
DGC,CTCP Tập đoàn Hóa chất Đức Giang,"Sản xuất hóa chất, dược phẩm",HOSE,379779286
DGT,CTCP Công trình Giao thông Đồng Nai,Xây dựng công nghiệp nặng và dân dụng,UPCoM,79000000
DGW,CTCP Thế Giới Số,Bán buôn hàng lâu bền,HOSE,167224443
DHA,CTCP Hóa An,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,15119946
DHB,CTCP Phân đạm và Hóa chất Hà Bắc,"Sản xuất hóa chất, dược phẩm",UPCoM,272200000
DHC,CTCP Đông Hải Bến Tre,Sản xuất giấy,HOSE,80493048
DHD,CTCP Dược Vật tư Y tế Hải Dương,"Sản xuất hóa chất, dược phẩm",UPCoM,20399630
DHG,CTCP Dược Hậu Giang,"Sản xuất hóa chất, dược phẩm",HOSE,130746071
DHM,CTCP Thương mại và Khai thác Khoáng sản Dương Hiếu,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,31396180
DHN,CTCP Dược phẩm Hà Nội,"Sản xuất hóa chất, dược phẩm",UPCoM,6290900
DHP,CTCP Điện cơ Hải Phòng,"Sản xuất trang thiết bị, dụng cụ điện",HNX,9492200
DHT,CTCP Dược phẩm Hà Tây,"Sản xuất hóa chất, dược phẩm",HNX,73941773
DIC,CTCP Đầu tư và Thương mại DIC,Bán buôn hàng lâu bền,UPCoM,26585840
DID,CTCP DIC - Đồng Tiến,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,15622552
DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,Phát triển bất động sản,HOSE,609851995
DIH,CTCP Đầu tư Phát triển Xây dựng - Hội An,"Xây dựng nhà cửa, cao ốc",HNX,5979962
DKC,CTCP Chợ Lạng Sơn,Phát triển bất động sản,UPCoM,2288540
DL1,CTCP Tập đoàn Alpha Seven,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,HNX,106236094
DLD,CTCP Du lịch Đắk Lắk,Dịch vụ ăn uống,UPCoM,9307415
DLG,CTCP Tập đoàn Đức Long Gia Lai,"Sản xuất các sản phẩm điện tử, vi tính",HOSE,299309720
DLM,CTCP Chiếu sáng công cộng Đà Nẵng,Xây dựng công nghiệp nặng và dân dụng,UPCoM,1160250
DLR,CTCP Địa ốc Đà Lạt,"Xây dựng nhà cửa, cao ốc",UPCoM,4500000
DLT,CTCP Du lịch và Thương mại - Vinacomin,Các hoạt động hỗ trợ Khai khoáng,UPCoM,2500056
DM7,CTCP Dệt May 7,Sản xuất các sản phẩm may mặc,UPCoM,15411100
DMC,CTCP Xuất nhập khẩu Y Tế Domesco,"Sản xuất hóa chất, dược phẩm",HOSE,34727465
DMN,CTCP Domenal,Sản xuất thực phẩm,UPCoM,12500000
DMS,CTCP Hóa phẩm Dầu khí DMC - Miền Nam,"Sản xuất hóa chất, dược phẩm",UPCoM,4000000
DNA,CTCP Điện Nước An Giang,"Phát, truyền tải và phân phối điện năng",UPCoM,56329567
DNC,CTCP Điện Nước Lắp máy Hải Phòng,"Phát, truyền tải và phân phối điện năng",HNX,6422258
DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,8834000
DNE,CTCP Môi trường Đô thị Đà Nẵng,"Nước, chất thải và các hệ thống khác",UPCoM,5773600
DNH,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,"Phát, truyền tải và phân phối điện năng",UPCoM,422400000
DNL,CTCP Logistics Cảng Đà Nẵng,Hỗ trợ vận tải,UPCoM,4310000
DNM,Tổng Công ty cổ phần Y tế DANAMECO,Sản xuất khác,UPCoM,5253070
DNN,CTCP Cấp nước Đà Nẵng,"Nước, chất thải và các hệ thống khác",UPCoM,57964061
DNP,CTCP DNP Holding,Sản xuất các sản phẩm nhựa và cao su,HNX,118909913
DNT,CTCP Du lịch Đồng Nai,Dịch vụ ăn uống,UPCoM,7459675
DNW,CTCP Cấp nước Đồng Nai,"Nước, chất thải và các hệ thống khác",UPCoM,120000000
DOC,CTCP Vật tư Nông Nghiệp Đồng Nai,"Sản xuất hóa chất, dược phẩm",UPCoM,10000000
DOP,CTCP Vận tải Xăng dầu Đồng Tháp,Hỗ trợ vận tải,UPCoM,4719950
DP1,CTCP Dược phẩm Trung ương CPC1,Bán buôn hàng tiêu dùng,UPCoM,20979000
DP2,CTCP Dược phẩm Trung ương 2,"Sản xuất hóa chất, dược phẩm",UPCoM,20000000
DP3,CTCP Dược phẩm Trung ương 3,"Sản xuất hóa chất, dược phẩm",HNX,21499933
DPC,CTCP Nhựa Đà Nẵng,Sản xuất các sản phẩm nhựa và cao su,HNX,2237280
DPG,CTCP Tập đoàn Đạt Phương,Xây dựng công nghiệp nặng và dân dụng,HOSE,62999554
DPH,CTCP Dược phẩm Hải Phòng,"Sản xuất hóa chất, dược phẩm",UPCoM,3000000
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,"Sản xuất hóa chất, dược phẩm",HOSE,391400000
DPP,CTCP Dược Đồng Nai,Bán buôn hàng tiêu dùng,UPCoM,3000010
DPR,CTCP Cao su Đồng Phú,Sản xuất hóa chất cơ bản,HOSE,86885932
DPS,CTCP Đầu tư Phát triển Sóc Sơn,Bán buôn hàng lâu bền,UPCoM,31085257
DQC,CTCP Tập đoàn Điện Quang,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,34359416
DRC,CTCP Cao su Đà Nẵng,Sản xuất các sản phẩm nhựa và cao su,HOSE,118792605
DRG,CTCP Cao su Đắk Lắk,Trồng trọt,UPCoM,1658400
DRH,CTCP DRH Holdings,Bất động sản,HOSE,124353866
DRI,CTCP Đầu tư Cao su Đắk Lắk,"Sản xuất hóa chất, dược phẩm",UPCoM,73200000
DRL,CTCP Thủy điện - Điện Lực 3,"Phát, truyền tải và phân phối điện năng",HOSE,9500000
DS3,CTCP Quản lý Đường sông Số 3,Hỗ trợ vận tải,HNX,10669730
DSC,CTCP Chứng khoán DSC,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,204838925
DSD,CTCP DHC Suối Đôi,Công nghiệp giải trí và vui chơi có thưởng,UPCoM,36600000
DSG,CTCP Kính Đáp Cầu,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,30000000
DSN,CTCP Công viên nước Đầm Sen,Công nghiệp giải trí và vui chơi có thưởng,HOSE,12083009
DSP,CTCP Dịch vụ Du lịch Phú Thọ,Công nghiệp giải trí và vui chơi có thưởng,UPCoM,118684000
DST,CTCP Đầu tư Sao Thăng Long,Công nghiệp xuất bản - Ngoại trừ internet,HNX,32300000
DSV,CTCP Đường sắt Vĩnh Phú,Hỗ trợ vận tải,UPCoM,1229579
DTA,CTCP Đệ Tam,Phát triển bất động sản,HOSE,18059832
DTB,CTCP Công trình Đô thị Bảo Lộc,Dịch vụ quản lý và tái chế chất thải,UPCoM,1558248
DTC,CTCP Viglacera Đông Triều,Sản xuất sản phẩm khoáng chất phi kim,HNX,10000000
DTD,CTCP Đầu tư Phát triển Thành Đạt,"Xây dựng nhà cửa, cao ốc",HNX,42908789
DTE,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings,"Phát, truyền tải và phân phối điện năng",UPCoM,50725887
DTG,CTCP Dược phẩm Tipharco,"Sản xuất hóa chất, dược phẩm",HNX,7263210
DTH,CTCP Dược Vật tư Y Tế Thanh Hóa,"Sản xuất hóa chất, dược phẩm",UPCoM,7471614
DTI,CTCP Đầu tư Đức Trung,Bất động sản,UPCoM,13488800
DTK,Tổng Công ty Điện lực TKV - CTCP,"Phát, truyền tải và phân phối điện năng",HNX,682767475
DTL,CTCP Đại Thiên Lộc,Sản xuất các sản phẩm kim loại cơ bản,HOSE,61435604
DTP,CTCP Dược phẩm CPC1 Hà Nội,"Sản xuất hóa chất, dược phẩm",UPCoM,16229042
DTT,CTCP Kỹ nghệ Đô Thành,Sản xuất các sản phẩm nhựa và cao su,HOSE,8151820
DTV,CTCP Phát triển Điện Trà Vinh,"Phát, truyền tải và phân phối điện năng",UPCoM,5280000
DUS,CTCP Dịch vụ Đô thị Đà Lạt,Dịch vụ hành chính và hỗ trợ,UPCoM,5614300
DVC,CTCP Thương mại Dịch vụ Tổng hợp Cảng Hải Phòng,Cửa hàng đồ nội thất và đồ dùng gia đình,UPCoM,10793670
DVG,CTCP Đại Việt Group DVG,"Sản xuất hóa chất, dược phẩm",HNX,28000000
DVM,CTCP Dược liệu Việt Nam,"Sản xuất hóa chất, dược phẩm",HNX,35650000
DVN,Tổng Công ty Dược Việt Nam - CTCP,"Sản xuất hóa chất, dược phẩm",UPCoM,237000000
DVP,CTCP Đầu tư và Phát triển Cảng Đình Vũ,Hỗ trợ vận tải,HOSE,40000000
DVW,CTCP Dịch vụ và Xây dựng Cấp nước Đồng Nai,Xây dựng công nghiệp nặng và dân dụng,UPCoM,2345000
DWC,CTCP Cấp nước Đắk Lắk,"Nước, chất thải và các hệ thống khác",UPCoM,20172800
DWS,CTCP Cấp nước và Môi trường đô thị Đồng Tháp,"Nước, chất thải và các hệ thống khác",UPCoM,25918130
DXG,CTCP Tập đoàn Đất Xanh,Phát triển bất động sản,HOSE,611779002
DXL,CTCP Du Lịch và Xuất nhập khẩu Lạng Sơn,Khách sạn và phòng ở,UPCoM,3957900
DXP,CTCP Cảng Đoạn Xá,Hỗ trợ vận tải,HNX,59910133
DXS,CTCP Dịch vụ Bất động sản Đất Xanh,Bất động sản,HOSE,574103124
DXV,CTCP VICEM Vật liệu Xây dựng Đà Nẵng,Sản xuất sản phẩm khoáng chất phi kim,HOSE,9900000
DZM,CTCP Cơ điện Dzĩ An,"Sản xuất thiết bị, máy móc",HNX,5395985
E12,CTCP Xây dựng Điện VNECO12,Xây dựng công nghiệp nặng và dân dụng,UPCoM,1200000
E1VFVN30,Quỹ ETF DCVFMVN30,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,386900000
E29,CTCP Đầu tư Xây dựng và Kỹ thuật 29,"Xây dựng nhà cửa, cao ốc",UPCoM,5000000
EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội,Công nghiệp xuất bản - Ngoại trừ internet,HNX,10219484
ECI,CTCP Tập Đoàn ECI,Công nghiệp xuất bản - Ngoại trừ internet,HNX,1860000
EFI,CTCP Đầu tư Tài chính Giáo dục,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,10880000
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Trung gian tín dụng và các hoạt động liên quan,HOSE,1746956148
EIC,CTCP EVN Quốc tế,"Phát, truyền tải và phân phối điện năng",UPCoM,36677145
EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội,Công nghiệp xuất bản - Ngoại trừ internet,HNX,15000000
EIN,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực,Khách sạn và phòng ở,UPCoM,45407161
ELC,CTCP Công Nghệ - Viễn Thông Elcom,Viễn thông,HOSE,58778843
EME,CTCP Điện cơ,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,3780298
EMG,CTCP Thiết bị Phụ Tùng Cơ Điện,"Sản xuất thiết bị, máy móc",UPCoM,3000000
EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP,Đưa thư,UPCoM,20999440
EPC,CTCP Cà phê Ea Pốk,Sản xuất thực phẩm,UPCoM,9388500
EPH,CTCP Dịch vụ Xuất bản Giáo dục Hà Nội,Công nghiệp xuất bản - Ngoại trừ internet,UPCoM,2500000
EVE,CTCP Everpia,Sản xuất các sản phẩm may mặc,HOSE,41979773
EVF,Công ty Tài chính Cổ phần Điện lực,Trung gian tín dụng và các hoạt động liên quan,HOSE,351064031
EVG,CTCP Tập đoàn EverLand,Phát triển bất động sản,HOSE,215249836
EVS,CTCP Chứng khoán Everest,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HNX,164800618
FBA,CTCP Tập đoàn Quốc tế FBA,Bán buôn hàng lâu bền,UPCoM,3414900
FBC,CTCP Cơ khí Phổ Yên,Sản xuất phương tiện vận tải,UPCoM,3700000
FCC,CTCP Liên hợp Thực phẩm,Sản xuất thực phẩm,UPCoM,5997040
FCM,CTCP Khoáng sản FECON,Sản xuất sản phẩm khoáng chất phi kim,HOSE,45099969
FCN,CTCP FECON,Nhà thầu chuyên môn,HOSE,157439005
FCS,CTCP Lương thực Thành phố Hồ Chí Minh,Sản xuất thực phẩm,UPCoM,29450000
FDC,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Bất động sản,HOSE,38629988
FGL,CTCP Cà phê Gia Lai,Trồng trọt,UPCoM,14676300
FHN,CTCP Xuất nhập khẩu Lương thực Thực phẩm Hà Nội,Sản xuất thực phẩm,UPCoM,3000000
FHS,CTCP Phát hành Sách Thành phố Hồ Chí Minh,"Cửa hàng đồ dùng thể thao, đồ cổ, sách và âm nhạc",UPCoM,12751462
FIC,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,127000000
FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam,Bán buôn hàng lâu bền,HNX,24715958
FIR,CTCP Địa ốc First Real,Phát triển bất động sản,HOSE,64245281
FIT,CTCP Tập đoàn F.I.T,"Sản xuất hóa chất, dược phẩm",HOSE,339933034
FLC,CTCP Tập đoàn FLC,Phát triển bất động sản,UPCoM,709997807
FMC,CTCP Thực phẩm Sao Ta,Sản xuất thực phẩm,HOSE,65388889
FOC,CTCP Dịch vụ Trực tuyến FPT,Viễn thông,UPCoM,18471275
FOX,CTCP Viễn thông FPT,Viễn thông,UPCoM,328339538
FPT,CTCP FPT,Công nghiệp xuất bản - Ngoại trừ internet,HOSE,1269968875
FRC,CTCP Lâm đặc sản Xuất khẩu Quảng Nam,Sản xuất các sản phẩm gỗ,UPCoM,3000000
FRM,CTCP Lâm Nghiệp Sài Gòn,Trồng rừng và khai thác gỗ,UPCoM,11700000
FRT,CTCP Bán lẻ Kỹ thuật số FPT,Cửa hàng thiết bị điện tử gia đình,HOSE,136242389
FSO,CTCP Cơ khí đóng tàu Thủy sản Việt Nam,Sản xuất phương tiện vận tải,UPCoM,5624966
FT1,CTCP Phụ tùng Máy số 1,"Sản xuất thiết bị, máy móc",UPCoM,7079853
FTI,CTCP Công nghiệp - Thương mại Hữu Nghị,Bất động sản,UPCoM,3943710
FTM,CTCP Đầu tư và Phát triển Đức Quân,"Sản xuất sợi, vải",UPCoM,50000000
FTS,CTCP Chứng khoán FPT,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,214564987
FUCTVGF3,Quỹ Đầu Tư Tăng Trưởng Thiên Việt 3,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,19900800
FUCTVGF4,Chứng chỉ Quỹ Đầu Tư Tăng Trưởng Thiên Việt 4,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,20060000
FUCVREIT,Quỹ đầu tư Bất động sản Techcom Việt Nam,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,5000000
FUEBFVND,Chứng chỉ Quỹ ETF BVFVN DIAMOND,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,5000000
FUEDCMID,Chứng chỉ Quỹ ETF DCVFMVNMIDCAP,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,17900000
FUEFCV50,Chứng chỉ Quỹ ETF FPT CAPITAL VNX50,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,5800000
FUEIP100,Chứng chỉ Quỹ ETF IPAAM VN100,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,5700000
FUEKIV30,Chứng chỉ Quỹ ETF KIM GROWTH VN30,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,72500000
FUEKIVFS,Chứng chỉ Quỹ ETF Kim Growth VNFINSELECT,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,28000000
FUEMAV30,Quỹ ETF MAFM VN30,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,26300000
